B28,1,2,NORTH OCB 4 SS 75 DISCR,80,YES,NO,ACN_NONE,NO,120,,10 ,1,0,0,1 ,,YES,YES,0,T_NONE,C_NEVER,R_NEVER,0,,,0,,B_NEVER,R_NEVER,0,,0,,2 3 10 20 224 ,,,,,,,,,,,,,,0,,YES,,,0,NO,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,NO,,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,,USE_VALUE,USE_VALUE,USE_VALUE,USE_VALUE
B29,1,2,NORTH TR 3 4 KV DISCR,80,YES,NO,ACN_NONE,NO,120,,10 ,1,0,0,1 ,,YES,YES,0,T_NONE,C_NEVER,R_NEVER,0,,,0,,B_NEVER,R_NEVER,0,,0,,2 3 10 20 224 ,,,,,,,,,,,,,,0,,YES,,,0,NO,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,NO,,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,,USE_VALUE,USE_VALUE,USE_VALUE,USE_VALUE
B30,1,2,NORTH TR 1 2 KV DISCR,80,YES,NO,ACN_NONE,NO,120,,10 ,1,0,0,1 ,,YES,YES,0,T_NONE,C_NEVER,R_NEVER,0,,,0,,B_NEVER,R_NEVER,0,,0,,2 3 10 20 224 ,,,,,,,,,,,,,,0,,YES,,,0,NO,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,NO,,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,,USE_VALUE,USE_VALUE,USE_VALUE,USE_VALUE
B31,1,2,NORTH OCB 21 M1 3 DISCR,80,YES,NO,ACN_NONE,NO,120,,10 ,1,0,0,1 ,,YES,YES,0,T_NONE,C_NEVER,R_NEVER,0,,,0,,B_NEVER,R_NEVER,0,,0,,2 3 10 20 224 ,,,,,,,,,,,,,,0,,YES,,,0,NO,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,NO,,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,,USE_VALUE,USE_VALUE,USE_VALUE,USE_VALUE
B32,1,2,NORTH OCB 7 DISCR,80,YES,NO,ACN_NONE,NO,120,,10 ,1,0,0,1 ,,YES,YES,0,T_NONE,C_NEVER,R_NEVER,0,,,0,,B_NEVER,R_NEVER,0,,0,,2 3 10 20 224 ,,,,,,,,,,,,,,0,,YES,,,0,NO,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,NO,,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,,USE_VALUE,USE_VALUE,USE_VALUE,USE_VALUE
B33,1,2,NORTH OCB 11 DISCR,80,YES,NO,ACN_NONE,NO,120,,10 ,1,0,0,1 ,,YES,YES,0,T_NONE,C_NEVER,R_NEVER,0,,,0,,B_NEVER,R_NEVER,0,,0,,2 3 10 20 224 ,,,,,,,,,,,,,,0,,YES,,,0,NO,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,NO,,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,,USE_VALUE,USE_VALUE,USE_VALUE,USE_VALUE
B34,1,2,NORTH AI DISCR SPARE 5,80,YES,NO,ACN_NONE,NO,120,,10 ,1,0,0,1 ,,YES,YES,0,T_NONE,C_NEVER,R_NEVER,0,,,0,,B_NEVER,R_NEVER,0,,0,,2 3 10 20 224 ,,,,,,,,,,,,,,0,,YES,,,0,NO,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,NO,,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,,USE_VALUE,USE_VALUE,USE_VALUE,USE_VALUE
B35,1,2,NORTH UPS ALARM 3 - ON BYPASS,80,YES,NO,ACN_NONE,NO,0,,2 ,1,0,0,1 ,,YES,YES,0,F_NONE,C_NEVER,R_NEVER,0,,,0,,B_NEVER,R_NEVER,0,,0,,2 3 10 20 224 ,,,,,,,,,,,,,,0,,YES,,,0,NO,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,NO,,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,,USE_VALUE,USE_VALUE,USE_VALUE,USE_VALUE
B38,1,5,WEST/NORTH AUTOMATIC  AIRFIELD RING CHANGEOVER,39,YES,NO,ACN_NONE,NO,0,,3 ,1,0,0,1 ,,YES,YES,0,F_NONE,C_NEVER,R_NEVER,0,,,0,,B_NEVER,R_NEVER,0,,0,,10 ,,,,,,,,,,,,,,0,,YES,,,0,NO,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,NO,,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,,USE_VALUE,USE_VALUE,USE_VALUE,USE_VALUE
B45,1,2,NORTH PLC B HAS SWITCHED TO STANDBY STATUS,80,YES,NO,ACN_NONE,NO,180,,2 ,1,0,0,1 ,,YES,YES,0,B_CHANGE_T_TO_F,C_NEVER,R_NEVER,0,,,0,,B_NEVER,R_NEVER,0,,0,,2 3 10 20 224 ,,,,,,,,,,,,,,0,,YES,,,0,NO,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,NO,,NO,M_NEVER,| FFFFFFFF,FFFFFFFF,,USE_VALUE,USE_VALUE,USE_VALUE,USE_VALUE
